grCode	en	abbreviation	el	otherName
12.03.03.01.001	HER-2/neu	HER-2/neu	ΟΓΚΟΠΡΩΤΕΙΝΗ HER-2/NEU	
12.03.03.02.001	p53	p53	ΟΓΚΟΚΑΤΑΣΤΑΛΤΙΚΗ ΠΡΩΤΕΙΝΗ P53	
12.03.03.90.900	Other Oncoproteins		ΑΛΛΕΣ ΟΓΚΟΠΡΩΤΕΙΝΕΣ	
12.03.90.01.001	Alphafetoprotein	AFP	Α-ΕΜΒΡΥΪΚΗ ΣΦΑΙΡΙΝΗ	
12.03.90.02.001	Beta2-Microglobulin	ß2-M	Β2 ΜΙΚΡΟΣΦΑΙΡΙΝΗ	
12.03.90.03.001	Cathepsin-D		ΚΑΘΕΨΙΝΗ D	
12.03.90.05.001	5-Hydroxyindoleacetic acid	5-HIAA	5-ΥΔΡΟΞΥ ΙΝΔΟΛΟΞΙΚΟ ΟΞΥ	
12.03.90.06.001	Human Placenta Like Alkaline Phosphatase	hPLAP	ΠΛΑΚΟΥΝΤΙΑΚΗ ΑΛΚΑΛΙΚΗ ΦΩΣΦΑΤΑΣΗ	
12.03.90.08.001	Neuron Specific Enolase	NSE	ΕΙΔΙΚΗ ΝΕΥΡΩΝΙΚΗ ΕΝΟΛΑΣΗ	
12.03.90.12.001	Thymidine Kinase	TK	ΚΙΝΑΣΗ ΘΥΜΙΔΙΝΗΣ	
12.03.90.16.001	Matrix-Metalloproteinase-2	MMP-2	ΜΕΤΑΛΛΟΠΡΩΤΕΙΝΑΣΗ ΕΞΩΚΥΤΤΑΡΙΑΣ ΟΥΣΙΑΣ-2	ΜΕΤΑΛΛΟΠΡΩΤΕΙΝΑΣΗ ΥΠΟΣΤΡΩΜΑΤΟΣ-2
12.03.90.16.002	Matrix-Metalloproteinase-9	MMP-9	ΜΕΤΑΛΛΟΠΡΩΤΕΙΝΑΣΗ ΕΞΩΚΥΤΤΑΡΙΑΣ ΟΥΣΙΑΣ-9	ΜΕΤΑΛΛΟΠΡΩΤΕΙΝΑΣΗ ΥΠΟΣΤΡΩΜΑΤΟΣ-3
12.03.90.17.001	Serotonine		ΣΕΡΟΤΟΝΙΝΗ	
12.03.90.18.001	Protein S-100 B	S-100B	ΠΡΩΤΕΙΝΗ S100-B	
12.03.90.20.001	Chromogranin A		ΧΡΩΜΟΓΡΑΝΙΝΗ-Α	
12.03.90.30.001	Tumor M2 Pyruvate Kinase	Tumor M2-PK	ΚΑΡΚΙΝΙΚΟ ΔΙΜΕΡΕΣ ΠΥΡΟΥΒΙΚΗΣ ΚΙΝΑΣΗΣ	
12.03.90.90.900	Other Tumour Markers		ΑΛΛΟΙ ΝΕΟΠΛΑΣΜΑΤΙΚΟΙ ΔΕΙΚΤΕΣ	
12.04.01.01.001	Free Triiodothyronine	FT3	ΕΛΕΥΘΕΡΗ ΤΡΙΙΩΔΟΘΥΡΟΝΙΝΗ	
12.04.01.02.001	Free Thyroxine	FT4	ΕΛΕΥΘΕΡΗ ΘΥΡΟΞΙΝΗ	
12.04.01.04.001	Reverse Triiodothyronine	Rev T3	ΑΝΑΣΤΡΟΦΗ ΤΡΙΙΩΔΟΘΥΡΟΝΙΝΗ	ΑΝΑΣΤΡΟΦΗ Τ3
12.04.01.05.001	Triiodothyronine	TT3	ΤΡΙΙΩΔΟΘΥΡΟΝΙΝΗ	
12.04.01.06.001	T- Uptake	T3-U	Τ3-ΠΡΟΣΛΗΨΗ	
12.04.01.07.001	Thyroxine	TT4	ΘΥΡΟΞΙΝΗ	
12.04.01.07.002	Free Thyroxine Index	FTI	ΔΕΙΚΤΗΣ ΕΛΕΥΘΕΡΗΣ ΘΥΡΟΞΙΝΗΣ	
12.04.01.08.001	Thyroglobulin	TG	ΘΥΡΕΟΣΦΑΙΡΙΝΗ	
12.04.01.09.001	Thyroid binding globulin	TBG	ΘΥΡΕΟΔΕΣΜΕΥΤΙΚΗ ΣΦΑΙΡΙΝΗ	ΣΦΑΙΡΙΝΗ ΔΕΣΜΕΥΟΥΣΑ ΤΙΣ ΟΡΜΟΝΕΣ ΤΟΥ ΘΥΡΕΟΕΙΔΟΥΣ
12.04.01.11.001	Thyroid Stimulating Hormone	TSH	ΘΥΡΕΟΕΙΔΟΤΡΟΠΟΣ ΟΡΜΟΝΗ	
12.04.01.90.900	Other thyroid hormones		ΑΛΛΕΣ ΟΡΜΟΝΕΣ ΤΟΥ ΘΥΡΕΟΕΙΔΟΥΣ	
12.05.01.01.001	Androstenedione	Δ4Α	ΑΝΔΡΟΣΤΕΝΔΙΟΝΗ	Δ4 ΑΝΔΡΟΣΤΕΝΔΙΟΝΗ
12.05.01.02.001	Dehydro-epiandrosterone Sulphate	DHEAS ή DHEA-SO4	ΘΕΙΙΚΗ ΔΙΫΔΡΟΕΠΙΑΝΔΡΟΣΤΕΡΟΝΗ	
12.05.01.02.002	Dehydro-epiandrosterone	DHEA	ΔΙΫΔΡΟΕΠΙΑΝΔΡΟΣΤΕΡΟΝΗ	
12.05.01.03.001	Estradiol	E2 ή O2	ΟΙΣΤΡΑΔΙΟΛΗ	
12.05.01.04.001	Follicle Stimulating Hormone	FSH	ΘΥΛΑΚΙΟΤΡΟΠΟΣ ΟΡΜΟΝΗ	
12.05.01.05.001	Luteinising Hormone	LH	ΩΧΡΙΝΟΤΡΟΠΟΣ ΟΡΜΟΝΗ	
12.05.01.05.002	LH/FSH ratio	LH/FSH	ΛΟΓΟΣ LH/FSH	
12.05.01.06.001	Progesterone	PRG ή P	ΠΡΟΓΕΣΤΕΡΟΝΗ	
12.05.01.07.001	17 OH Progesterone	17OHP	17 ΥΔΡΟΞΥ-ΠΡΟΓΕΣΤΕΡΟΝΗ	
12.05.01.08.001	Prolactin	PRL	ΠΡΟΛΑΚΤΙΝΗ	
12.05.01.09.001	Sex Hormone Binding Globulin	SHBG	ΣΦΑΙΡΙΝΗ ΔΕΣΜΕΥΟΥΣΑ ΤΙΣ ΟΡΜΟΝΕΣ ΤΟΥ ΦΥΛΟΥ	
12.05.01.10.001	Testosterone	T ή Testo	ΤΕΣΤΟΣΤΕΡΟΝΗ (ΟΛΙΚΗ)	
12.05.01.10.002	Testosterone Free	FTesto	ΕΛΕΥΘΕΡΗ ΤΕΣΤΟΣΤΕΡΟΝΗ	
12.05.01.10.003	Free Androgen Index	FAI	ΔΕΙΚΤΗΣ ΕΛΕΥΘΕΡΩΝ ΑΝΔΡΟΓΟΝΩΝ	
12.05.01.11.001	Androsterone		ΑΝΔΡΟΣΤΕΡΟΝΗ	
12.05.01.12.001	Androstanediol-Glucuronide	3a-diol G	ΓΛΥΚΟΥΡΟΝΙΔΙΟ ΤΗΣ ΑΝΔΡΟΣΤΕΝΔΙΟΛΗΣ	3A-Androstanediol-Glucuronide
12.05.01.14.001	11-Desoxycortisol		11-ΔΕΣΟΞΥ ΚΟΡΤΙΖΟΛΗ	
12.05.01.15.001	Corticosteron		ΚΟΡΤΙΚΟΣΤΕΡΟΝΗ	
12.05.01.20.001	Anti-Mûllerian Hormone	AMH	ΑΝΤΙ-ΜΥΛΛΕΡΙΑΝΗ ΟΡΜΟΝΗ	MIF (MULLERIAN INHIBITING FACTOR)
12.05.01.90.900	Other Fertility Function Hormones		ΑΛΛΕΣ ΟΡΜΟΝΕΣ/ΠΡΩΤΕΙΝΕΣ ΓΟΝΙΜΟΤΗΤΑΣ	
12.05.02.01.001	Alpha2-Pregnancy Associated Glycoprotein	a2-PAG	α2 ΓΛΥΚΟΠΡΩΤΕΙΝΗ ΣΧΕΤΙΖΟΜΕΝΗ ΜΕ ΚΥΗΣΗ	
12.05.02.02.001	Estriol	E3 ή TE3	ΟΛΙΚΗ ΟΙΣΤΡΙΟΛΗ	
12.05.02.03.001	Unconjugated (free) Estriol	uE3 ή FE3	ΑΣΥΖΕΥΚΤΗ ΟΙΣΤΡΙΟΛΗ	ΕΛΕΥΘΕΡΗ ΟΙΣΤΡΙΟΛΗ
12.05.02.04.001	Estrone	E1	ΟΙΣΤΡΟΝΗ	
12.05.02.05.001	Human Chorionic Gonadotropin	hCG ή HCG	ΧΟΡΙΑΚΗ ΓΟΝΑΔΟΤΡΟΠΙΝΗ	
12.05.02.07.001	Human Placental Lactogen	HPL	ΠΛΑΚΟΥΝΤΙΑΚΟ ΓΑΛΑΚΤΟΓΟΝΟ	
12.05.02.08.001	Pregnancy Specific B1 -glycoprotein	SP1	ΕΙΔΙΚΗ β1 ΓΛΥΚΟΠΡΩΤΕΙΝΗ ΤΗΣ ΚΥΗΣΗΣ	
12.05.02.10.001	Pregnancy associated Plasma Protein-A	PAPP-A	ΣΧΕΤΙΖΟΜΕΝΗ ΜΕ ΤΗΝ ΚΥΗΣΗ ΠΡΩΤΕΙΝΗ Α ΤΟΥ ΠΛΑΣΜΑΤΟΣ	
12.05.02.11.001	Placental Growth Factor (Pre-eclampsia)	PLGF ή PlGF	ΠΛΑΚΟΥΝΤΙΑΚΟΣ ΑΥΞΗΤΙΚΟΣ ΠΑΡΑΓΩΝ	
12.05.02.12.001	Soluble fms-like tyrosine kinase-1	sFlt-1	ΔΙΑΛΥΤΟΣ ΥΠΟΔΟΧΕΑΣ ΤΥΠΟΥ ΤΥΡΟΣΙΝΙΚΗΣ ΚΙΝΑΣΗΣ-1	ΔΙΑΛΥΤΟΣ ΥΠΟΔΟΧΕΑΣ ΤΟΥ ΑΓΓΕΙΑΚΟΥ ΕΝΔΟΘΗΛΙΑΚΟΥ ΑΥΞΗΤΙΚΟΥ ΠΑΡΑΓΟΝΤΑ
12.05.02.13.001	Free Beta Human Chorionic Gonadotropin	fbHCG	ΕΛΕΥΘΕΡΗ β-ΥΠΟΜΟΝΑΔΑ ΤΗΣ ΧΟΡΙΑΚΗΣ ΓΟΝΑΔΟΤΡΟΠΙΝΗΣ	
12.05.02.14.001	Inhibin A	InhA	ΑΝΑΣΤΑΛΤΙΝΗ Α	
12.05.02.14.002	Inhibin B	InhB	ΑΝΑΣΤΑΛΤΙΝΗ Β	
12.05.02.90.900	Other Pregnancy Testing Hormones / Proteins		ΑΛΛΕΣ ΟΡΜΟΝΕΣ/ΠΡΩΤΕΙΝΕΣ ΚΥΗΣΗΣ	
12.06.01.01.001	C-Peptide		ΠΕΠΤΙΔΙΟ C	
12.06.01.02.001	Glucagon		ΓΛΥΚΑΓΟΝΗ	
12.06.01.03.001	Insulin		ΙΝΣΟΥΛΙΝΗ	
12.06.01.04.001	Insulin Antibody	IAAbs	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΤΙ ΙΝΣΟΥΛΙΝΗΣ	
12.06.01.05.001	anti-GAD 65	CADAbs	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΑΠΟΚΑΡΒΟΞΥΛΑΣΗΣ ΤΟΥ ΓΛΟΥΤΑΜΙΝΙΚΟΥ ΟΞΕΟΣ	
12.06.01.07.001	Thyrosin Phosphatase IA2 Antibodies	IA2 Abs	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΥΡΟΣΙΝΙΚΗΣ ΦΩΣΦΑΤΑΣΗΣ IA2	
12.06.01.08.001	Proinsulin		ΠΡΟ-ΙΝΣΟΥΛΙΝΗ	
12.06.01.09.001	Islet Cell Ab	ICAbs	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΝΗΣΙΔΙΩΝ ΠΑΓΚΡΕΑΤΟΣ (ICA)	
12.06.01.10.001	Antibodies to Zn-T8	a-Zn-T8	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΟΥ ΜΕΤΑΦΟΡΕΑ 8 ΤΟΥ ΨΕΥΔΑΡΓΥΡΟΥ	
12.06.01.20.001	Antidiuretic hormone	ADH	ΑΝΤΙΔΙΟΥΡΗΤΙΚΗ ΟΡΜΟΝΗ	ΒΑΣΟΠΡΕΣΣΙΝΗ
12.06.01.90.900	Other Diabetes Assays		ΑΛΛΕΣ ΟΡΜΟΝΕΣ/ΠΡΩΤΕΙΝΕΣ ΕΛΕΓΧΟΥ ΔΙΑΒΗΤΗ	
12.06.02.01.001	Aldosterone		ΑΛΔΟΣΤΕΡΟΝΗ	
12.06.02.02.001	Angiotensin I / II		ΑΓΓΕΙΟΤΑΣΙΝΗ Ι / ΙΙ	ΑΓΓΕΙΟΤΕΝΣΙΝΗ Ι / ΙΙ
12.06.02.03.001	Angiotensin Converting Enzyme	ACE	ΜΕΤΑΤΡΕΠΤΙΚΟ ΕΝΖΥΜΟ ΑΓΓΕΙΟΤΑΣΙΝΗΣ	ΜΕΤΑΤΡΕΠΤΙΚΟ ΕΝΖΥΜΟ ΑΓΓΕΙΟΤΕΝΣΙΝΗΣ
12.06.02.04.001	Cortisol	F	ΚΟΡΤΙΖΟΛΗ	
12.06.02.05.001	Renine (Plasma Renine Activity)	PRA	ΡΕΝΙΝΗ (ΕΝΕΡΓΟΤΗΤΑ ΡΕΝΙΝΗΣ ΠΛΑΣΜΑΤΟΣ)	
12.06.02.06.001	Renine Direct		ΡΕΝΙΝΗ (ΜΑΖΑ)	
12.06.02.07.001	Neutrophil Gelatinase associated Lipocalin	NGAL	ΛΙΠΟΚΑΛΙΝΗ ΣΧΕΤΙΖΟΜΕΝΗ ΜΕ ΤΗΝ ΖΕΛΑΤΙΝΑΣΗ ΤΩΝ ΟΥΔΕΤΕΡΟΦΙΛΩΝ	ΛΙΠΟΚΑΛΙΝΗ 2
12.06.02.20.001	Urinary Cortisol	UFC	ΚΟΡΤΙΖΟΛΗ ΟΥΡΩΝ 24ΩΡΟΥ	
12.06.02.90.900	Other Renal Metabolism Assays		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΕΛΕΓΧΟΥ ΝΕΦΡΙΚΟΥ ΜΕΤΑΒΟΛΙΣΜΟΥ ΚΑΙ ΕΠΙΝΕΦΡΙΔΙΩΝ	
12.06.03.01.001	Bone Alkaline Phosphatase	BAP	ΟΣΤΙΚΗ ΑΛΚΑΛΙΚΗ ΦΩΣΦΑΤΑΣΗ	
12.06.03.02.001	Calcitonin		ΚΑΛΣΙΤΟΝΙΝΗ	
12.06.03.03.001	Collagen Type I C-terminal Propeptide	C I CP	ΚΑΡΒΟΞΥΤΕΛΙΚΟ ΠΡΟΠΕΠΤΙΔΙΟ ΤΟΥ ΚΟΛΛΑΓΟΝΟΥ ΤΥΠΟΥ Ι	
12.06.03.04.001	Collagen Type III C-terminal Propeptide		ΚΑΡΒΟΞΥΤΕΛΙΚΟ ΠΡΟΠΕΠΤΙΔΙΟ ΤΟΥ ΚΟΛΛΑΓΟΝΟΥ ΤΥΠΟΥ ΙΙΙ	
12.06.03.05.001	Cross-Linked C-Telopeptides	CTx	ΔΙΑΣΤΑΥΡΟΥΜΕΝΑ C-ΤΕΛΟΠΕΠΤΙΔΙΑ ΚΟΛΛΑΓΟΝΟΥ	
12.06.03.06.001	Cross-Linked N-Telopeptides	NTx	ΔΙΑΣΤΑΥΡΟΥΜΕΝΑ Ν-ΤΕΛΟΠΕΠΤΙΔΙΑ ΚΟΛΛΑΓΟΝΟΥ	
12.06.03.07.001	Cyclic Adenosin Monophosphate	CAMP/cAMP	ΚΥΚΛΙΚΟ ΑΔΕΝΟΣΙΝΟ ΜΟΝΟΦΩΣΦΩΡΙΚΟ ΟΞΥ (AMP)	
12.06.03.08.001	Deoxypyridinoline	DPD	ΔΕΣΟΞΥ-ΠΥΡΙΔΙΝΟΛΙΝΗ	
12.06.03.09.001	1,25-Dihydroxyvitamin D	1,25(OH)D	1,25 ΔΙΥΔΡΟΞΥ-ΒΙΤΑΜΙΝΗ D	
12.06.03.10.001	25-Hydroxyvitamin D	25(OH)D	25 YΔΡΟΞΥ-ΒΙΤΑΜΙΝΗ D	
12.06.03.11.001	Hydroxyproline		ΥΔΡΟΞΥΠΡΟΛΙΝΗ	
12.06.03.12.001	Osteocalcine	Osteo	ΟΣΤΕΟΚΑΛΣΙΝΗ	
12.06.03.13.001	Parathyroid Hormone (intact)	Intact PTH	ΠΑΡΑΘΟΡΜΟΝΗ (ΑΚΕΡΑΙΟ ΜΟΡΙΟ)	ΠΑΡΑΘΟΡΜΟΝΗ
12.06.03.14.001	Parathyroid Hormone (C-/N-terminal, M-regional)	PTH	ΠΑΡΑΘΟΡΜΟΝΗ	
12.06.03.15.001	Parathyroid Hormone related Peptide	PTHrP	ΠΕΠΤΙΔΙΟ ΣΧΕΤΙΖΟΜΕΝΟ ΜΕ ΤΗΝ ΠΑΡΑΘΟΡΜΟΝΗ	
12.06.03.16.001	Pyridinoline	PYD	ΠΥΡΙΔΙΝΟΛΙΝΗ	
12.06.03.17.001	Tartrate-resistant Acid Phosphatase 5b	TRAP	ΟΞΙΝΗ ΦΩΣΦΑΤΑΣΗ ΑΝΘΕΚΤΙΚΗ ΣΤΟ ΤΡΥΓΙΚΟ	
12.06.03.18.001	Procollagen Type I N terminal propeptide	PiNP	ΑΜΙΝΟΤΕΛΙΚΟ ΠΡΟΠΕΠΤΙΔΙΟ ΤΟΥ ΠΡΟΚΟΛΛΑΓΟΝΟΥ ΤΥΠΟΥ Ι	
12.06.03.20.001	Cartilage Oligomeric matrix PRC	COMP	ΟΛΙΓΟΜΕΡΗΣ ΜΗΤΡΙΚΗ ΠΡΩΤΕΙΝΗ ΤΩΝ ΧΟΝΔΡΩΝ	
12.06.03.21.001	Osteoprotegerin	OPG	ΟΣΤΕΟΠΡΟΤΕΓΕΡΙΝΗ	
12.06.03.22.001	Osteopontin	OPN	ΟΣΤΕΟΠΟNTINH	
12.06.03.90.900	Other Bone and Mineral Metabolism Assays		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΕΛΕΓΧΟΥ ΟΣΤΙΚΟΥ ΜΕΤΑΒΟΛΙΣΜΟΥ	
12.06.04.01.001	Adrenocortiotropic Hormone	ACTH	ΦΛΟΙΟΕΠΙΝΕΦΡΙΔΙΟΤΡΟΠΟΣ ΟΡΜΟΝΗ	ΚΟΡΤΙΚΟΤΡΟΠΟΣ ΟΡΜΟΝΗ
12.06.04.02.001	Human Growth Hormone	HGH	ΑΥΞΗΤΙΚΗ ΟΡΜΟΝΗ	ΑΝΘΡΩΠΙΝΗ ΑΥΞΗΤΙΚΗ ΟΡΜΟΝΗ
12.06.04.03.001	Insulin-like Growth Factor I (Somatomedin C)	IGF I	ΙΝΣΟΥΛΙΝΟΜΟΡΦΟΣ ΑΥΞΗΤΙΚΟΣ ΠΑΡΑΓΩΝ Ι	ΣΩΜΑΤΟΜΕΔΙΝΗ C
12.06.04.04.001	Insulin-like Growth Factor II	IGF II	ΙΝΣΟΥΛΙΝΟΜΟΡΦΟΣ ΑΥΞΗΤΙΚΟΣ ΠΑΡΑΓΩΝ ΙI	
12.06.04.05.001	Insulin-like Growth Factor Binding Protein 1	IGFBP-1	ΔΕΣΜΕΥΤΙΚΗ ΠΡΩΤΕΙΝΗ-1 ΤΟΥ ΙΝΣΟΥΛΙΝΟΜΟΡΦΟΥ ΑΥΞΗΤΙΚΟΥ ΠΑΡΑΓΟΝΤΑ	
12.06.04.06.001	Insulin-like Growth Factor Binding Protein 3	IGFBP-3	ΔΕΣΜΕΥΤΙΚΗ ΠΡΩΤΕΙΝΗ-3 ΤΟΥ ΙΝΣΟΥΛΙΝΟΜΟΡΦΟΥ ΑΥΞΗΤΙΚΟΥ ΠΑΡΑΓΟΝΤΑ	
12.06.04.07.001	Vasointestinal Peptide	VIP	ΑΓΓΕΙΟΔΡΑΣΤΙΚΟ ΕΝΤΕΡΙΚΟ ΠΕΠΤΙΔΙΟ	
12.06.04.20.001	Vascular endothelial growth factor	VEGF	ΠΑΡΑΓΩΝ ΑΝΑΠΤΥΞΗΣ ΑΓΓΕΙΑΚΟΥ ΕΝΔΟΘΗΛΙΟΥ	
12.06.04.25.001	Human Pancreatic Polypeptide	PP	ΠΑΓΚΡΕΑΤΙΚΟ ΠΟΛΥΠΕΠΤΙΔΙΟ	
12.06.04.90.900	Endocrine Hormones and Peptides		ΑΛΛΕΣ ΟΡΜΟΝΕΣ ΚΑΙ ΠΕΠΤΙΔΙΑ	
12.06.05.02.001	b-Endorphin		β-ΕΝΔΟΡΦΙΝΗ	
12.06.05.03.001	17-Hydroxy-Ketosterone	17OHCS	17-ΥΔΡΟΞΥ-ΚΟΡΤΙΚΟΣΤΕΡΟΕΙΔΗ ΟΥΡΩΝ	
12.06.05.04.001	17-Ketogenic Steroids	17KGS	17-ΚΕΤΟΓΟΝΑ ΣΤΕΡΟΕΙΔΗ ΟΥΡΩΝ	
12.06.05.05.001	17-Ketosteroids	17KS	17-ΚΕΤΟΣΤΕΡΟΕΙΔΗ ΟΥΡΩΝ	
12.06.05.08.001	Somatostatin		ΣΩΜΑΤΟΣΤΑΤΙΝΗ	
12.06.05.20.001	Vanillylmandelic Acid	VMA	ΒΑΝΙΛΛΙΝΟΜΑΝΔΕΛΙΚΟ ΟΞΥ ΟΥΡΩΝ	
12.06.05.21.001	Homovanillic Acid	HVA	ΟΜΟΒΑΝΙΛΛΙΚΟ ΟΞΥ ΟΥΡΩΝ	
12.06.05.22.001	Metanephrines		ΜΕΤΑΝΕΦΡΙΝΕΣ ΟΥΡΩΝ	
12.06.05.23.001	Metanephrine		ΜΕΤΑΝΕΦΡΙΝΗ ΟΥΡΩΝ	
12.06.05.24.001	Nor-metanephrine		ΝΟΡΜΕΤΑΝΕΦΡΙΝΗ ΟΥΡΩΝ	
12.06.05.90.900	Other Neuroendocrine Function Assays		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΝΕΥΡΟΕΝΔΟΚΡΙΝΙΚΗΣ ΛΕΙΤΟΥΡΓΙΑΣ	
12.06.90.01.001	Gastrin		ΓΑΣΤΡΙΝΗ	
12.06.90.02.001	Gonadotropin-Releasing Hormone	LHRH	ΕΚΛΥΤΙΚΗ ΟΡΜΟΝΗ ΤΩΝ ΓΟΝΑΔΟΤΡΟΠΙΝΩΝ	ΓΟΝΑΔΟΡΕΛΙΝΗ
12.06.90.06.001	Melatonine		ΜΕΛΑΤΟΝΙΝΗ	
12.06.90.07.001	Neopterine		ΝΕΟΠΤΕΡΙΝΗ	
12.06.90.08.001	Oxytocin		ΩΚΥΤΟΚΙΝΗ	
12.06.90.09.001	Pepsinogen		ΠΕΨΙΝΟΓΟΝΟ	
12.06.90.10.001	Prostaglandin		ΠΡΟΣΤΑΓΛΑΝΔΙΝΕΣ	
12.06.90.12.001	Elastase (Pancreatic)		ΕΛΑΣΤΑΣΗ (ΠΑΓΚΡΕΑΤΙΚΗ)	
12.06.90.13.001	Adrenalin		ΑΔΡΕΝΑΛΙΝΗ	ΕΠΙΝΕΦΡΙΝΗ
12.06.90.14.001	Noradrenalin		ΝΟΡΑΔΡΕΝΑΛΙΝΗ	ΝΟΡΕΠΙΝΕΦΡΙΝΗ
12.06.90.15.001	Dopamine		ΝΤΟΠΑΜΙΝΗ	
12.06.90.16.001	Procalcitonin	PCT	ΠΡΟΚΑΛΣΙΤΟΝΙΝΗ	
12.06.90.17.001	Leptin		ΛΕΠΤΙΝΗ	
12.06.90.19.001	Cyclic Guanosine Monophosphate	cGMP	ΚΥΚΛΙΚΟ GMP	
12.06.90.20.001	Catecholamines		ΚΑΤΕΧΟΛΑΜΙΝΕΣ	
12.06.90.90.900	Other Individual and Specified Hormones		ΑΛΛΕΣ ΕΙΔΙΚΕΣ ΟΡΜΟΝΕΣ/ΠΡΩΤΕΙΝΕΣ	
12.07.01.01.001	Erythropoietin	EPO	ΕΡΥΘΡΟΠΟΙΗΤΙΝΗ	
12.07.01.02.001	Ferritin		ΦΕΡΡΙΤΙΝΗ	
12.07.01.03.001	Folate acid	FA	ΦΥΛΛΙΚΟ ΟΞΥ	
12.07.01.03.002	Erythrocyte Folate acid		ΦΥΛΛΙΚΟ ΟΞΥ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ	
12.07.01.06.001	Soluble Transferrin Receptor	sTfR	ΔΙΑΛΥΤΟΣ ΥΠΟΔΟΧΕΑΣ ΤΡΑΝΣΦΕΡΡΙΝΗΣ	
12.07.01.90.900	Other Anemia related tests		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΑΝΑΙΜΙΑΣ	
12.07.02.01.001	Vitamin B1		ΒΙΤΑΜΙΝΗ Β1	ΘΕΙΑΜΙΝΗ
12.07.02.02.001	Vitamin B2		ΒΙΤΑΜΙΝΗ Β2	ΡΙΒΟΦΛΑΒΙΝΗ
12.07.02.03.001	Vitamin B6		ΒΙΤΑΜΙΝΗ Β6	ΦΩΣΦΩΡΙΚΗ ΠΥΡΙΔΟΞΑΛΗ
12.07.02.04.001	Vitamin B12	B12	ΒΙΤΑΜΙΝΗ Β12	ΚΥΑΝΟΚΟΒΑΛΑΜΙΝΗ
12.07.02.05.001	Vitamin D (Cholecalciferol)	VitD	ΒΙΤΑΜΙΝΗ D	ΚΑΛΣΙΦΕΡΟΛΗ
12.07.02.10.001	Intrinsic Factor (blocking Antibody)	IFbAb	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΟΥ ΕΝΔΟΓΕΝΟΥΣ ΠΑΡΑΓΟΝΤΑ	
12.07.02.20.001	Vitamin A		ΒΙΤΑΜΙΝΗ Α	ΡΕΤΙΝΟΛΗ
12.07.02.90.900	Other Vitamines		ΑΛΛΕΣ ΒΙΤΑΜΙΝΕΣ	
12.08.01.01.001	Digoxin		ΔΙΓΟΞΙΝΗ	
12.08.01.02.001	Digitoxin		ΔΙΓΙΤΟΞΙΝΗ	
12.08.01.03.001	Disopyramide		ΔΙΣΟΠΥΡΑΜΙΔΗ	
12.08.01.04.001	Flecainide		ΦΛΕΚΑΪΝΙΔΗ	
12.08.01.05.001	Lidocaine		ΛΙΔΟΚΑΪΝΗ	
12.08.01.06.001	N-Acetylprocainamide	NAPA	Ν-ΑΚΕΤΥΛΟΠΡΟΚΑΪΝΑΜΙΔΗ	
12.08.01.07.001	Procainamide		ΠΡΟΚΑΪΝΑΜΙΔΗ	
12.08.01.08.001	Propranolol		ΠΡΟΠΑΝΟΛΟΛΗ	
12.08.01.09.001	Quinidine		ΚΙΝΙΔΙΝΗ	
12.08.01.90.900	Other Cardiovascular TDM		ΑΛΛΑ ΦΑΡΜΑΚΑ ΚΑΡΔΙΟΑΓΓΕΙΑΚΟΥ	
12.08.02.01.001	Carbamazepine	CBZ	ΚΑΡΒΑΜΑΖΕΠΙΝΗ	
12.08.02.02.001	Ethosuximide		ΑΙΘΟΣΟΥΞΙΜΙΔΗ	
12.08.02.03.001	Free Carbamazepine		ΕΛΕΥΘΕΡΟ ΚΛΑΣΜΑ ΚΑΡΒΑΜΑΖΕΠΙΝΗΣ	
12.08.02.04.001	Free Phenytoin		ΕΛΕΥΘΕΡΟ ΚΛΑΣΜΑ ΦΑΙΝΥΤΟΪΝΗΣ	
12.08.02.05.001	Free Primodone		ΕΛΕΥΘΕΡΟ ΚΛΑΣΜΑ ΠΡΙΜΙΔΟΝΗΣ	
12.08.02.06.001	Free Valproic Acid		ΕΛΕΥΘΕΡΟ ΚΛΑΣΜΑ ΒΑΛΠΡΟΪΚΟΥ ΟΞΕΟΣ	
12.08.02.07.001	Phenobarbital	PB	ΦΑΙΝΟΒΑΡΒΙΤΑΛΗ	
12.08.02.08.001	Phenytoin	PHT	ΦΑΙΝΥΤΟΪΝΗ	
12.08.02.09.001	Primidone		ΠΡΙΜΙΔΟΝΗ	
12.08.02.10.001	Valproic Acid	VPA	ΒΑΛΠΡΟΪΚΟ ΟΞΥ	
